feature_code,year,measurement,units,value,alcohol_condition,hospital_activity,type_of_hospital,hb_assign
S12000008,2016/2017,ratio,"stays per 100,000 population",217.1,Harmful Use,stays,general acute hospital,S08000015
S12000019,2011/2012,ratio,"stays per 100,000 population",62.6,Withdrawal state,stays,general acute hospital,S08000024
S12000008,2018/2019,ratio,"stays per 100,000 population",88.5,Cirrhosis,stays,general acute hospital,S08000015
S12000008,2013/2014,ratio,"stays per 100,000 population",229.7,Harmful Use,stays,general acute hospital,S08000015
S12000019,2013/2014,ratio,"stays per 100,000 population",21.9,Unspecified,stays,general acute hospital,S08000024
S12000019,2015/2016,ratio,"stays per 100,000 population",86.1,Withdrawal state,stays,general acute hospital,S08000024
S12000019,2014/2015,ratio,"stays per 100,000 population",47.7,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000019,2012/2013,ratio,"stays per 100,000 population",20.2,Unspecified,stays,general acute hospital,S08000024
S12000019,2014/2015,ratio,"stays per 100,000 population",21.1,Unspecified,stays,general acute hospital,S08000024
S12000008,2013/2014,ratio,"stays per 100,000 population",116.4,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000019,2012/2013,ratio,"stays per 100,000 population",44.3,Withdrawal state,stays,general acute hospital,S08000024
S12000008,2009/2010,ratio,"stays per 100,000 population",422.2,Harmful Use,stays,general acute hospital,S08000015
S12000019,2009/2010,ratio,"stays per 100,000 population",42.4,Cirrhosis,stays,general acute hospital,S08000024
S12000019,2012/2013,ratio,"stays per 100,000 population",56.7,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000008,2010/2011,ratio,"stays per 100,000 population",399.1,Harmful Use,stays,general acute hospital,S08000015
S12000006,2012/2013,ratio,"stays per 100,000 population",68.7,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000019,2018/2019,ratio,"stays per 100,000 population",124.2,Acute Intoxication,stays,general acute hospital,S08000024
S12000019,2009/2010,ratio,"stays per 100,000 population",89.9,Acute Intoxication,stays,general acute hospital,S08000024
S12000006,2009/2010,ratio,"stays per 100,000 population",65.5,Unspecified,stays,general acute hospital,S08000017
S12000019,2016/2017,ratio,"stays per 100,000 population",28.1,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000006,2016/2017,ratio,"stays per 100,000 population",56.7,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000019,2017/2018,ratio,"stays per 100,000 population",108.9,Cirrhosis,stays,general acute hospital,S08000024
S12000020,2016/2017,ratio,"stays per 100,000 population",32.8,Harmful Use,stays,general acute hospital,S08000020
S12000020,2012/2013,ratio,"stays per 100,000 population",80.2,Alcohol Dependence syndrome,stays,general acute hospital,S08000020
S12000006,2012/2013,ratio,"stays per 100,000 population",44.3,Unspecified,stays,general acute hospital,S08000017
S12000019,2016/2017,ratio,"stays per 100,000 population",133,Cirrhosis,stays,general acute hospital,S08000024
S12000019,2018/2019,ratio,"stays per 100,000 population",89.4,Cirrhosis,stays,general acute hospital,S08000024
S12000019,2010/2011,ratio,"stays per 100,000 population",50.6,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000019,2015/2016,ratio,"stays per 100,000 population",44.5,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000020,2011/2012,ratio,"stays per 100,000 population",148.8,Alcohol Dependence syndrome,stays,general acute hospital,S08000020
S12000006,2009/2010,ratio,"stays per 100,000 population",64.2,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000019,2017/2018,ratio,"stays per 100,000 population",36.1,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000006,2013/2014,ratio,"stays per 100,000 population",68.7,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000006,2014/2015,ratio,"stays per 100,000 population",53,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000006,2009/2010,ratio,"stays per 100,000 population",54.9,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000019,2013/2014,ratio,"stays per 100,000 population",51.2,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000019,2011/2012,ratio,"stays per 100,000 population",30.8,Unspecified,stays,general acute hospital,S08000024
S12000006,2017/2018,ratio,"stays per 100,000 population",53.4,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000006,2010/2011,ratio,"stays per 100,000 population",68.3,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000006,2015/2016,ratio,"stays per 100,000 population",65.2,Toxic Effects of Alcohol,stays,general acute hospital,S08000017
S12000019,2011/2012,ratio,"stays per 100,000 population",43,Alcohol Dependence syndrome,stays,general acute hospital,S08000024
S12000006,2015/2016,ratio,"stays per 100,000 population",65.5,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000020,2017/2018,ratio,"stays per 100,000 population",65.7,Withdrawal state,stays,general acute hospital,S08000020
S12000020,2014/2015,ratio,"stays per 100,000 population",42.5,Withdrawal state,stays,general acute hospital,S08000020
S12000020,2017/2018,ratio,"stays per 100,000 population",88,Toxic Effects of Alcohol,stays,general acute hospital,S08000020
S12000006,2013/2014,ratio,"stays per 100,000 population",44,Harmful Use,stays,general acute hospital,S08000017
S12000006,2011/2012,ratio,"stays per 100,000 population",63.4,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000020,2010/2011,ratio,"stays per 100,000 population",39.9,Withdrawal state,stays,general acute hospital,S08000020
S12000006,2013/2014,ratio,"stays per 100,000 population",66.5,Unspecified,stays,general acute hospital,S08000017
S12000020,2018/2019,ratio,"stays per 100,000 population",54.4,Withdrawal state,stays,general acute hospital,S08000020
S12000006,2010/2011,ratio,"stays per 100,000 population",137.1,Harmful Use,stays,general acute hospital,S08000017
S12000020,2010/2011,ratio,"stays per 100,000 population",126.5,Harmful Use,stays,general acute hospital,S08000020
S12000020,2018/2019,ratio,"stays per 100,000 population",57.1,Harmful Use,stays,general acute hospital,S08000020
S12000006,2014/2015,ratio,"stays per 100,000 population",52.9,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000006,2014/2015,ratio,"stays per 100,000 population",42.3,Harmful Use,stays,general acute hospital,S08000017
S12000020,2009/2010,ratio,"stays per 100,000 population",113.1,Acute Intoxication,stays,general acute hospital,S08000020
S12000020,2018/2019,ratio,"stays per 100,000 population",20,Unspecified,stays,general acute hospital,S08000020
S12000020,2009/2010,ratio,"stays per 100,000 population",69.7,Unspecified,stays,general acute hospital,S08000020
S12000020,2015/2016,ratio,"stays per 100,000 population",25.1,Unspecified,stays,general acute hospital,S08000020
S12000020,2017/2018,ratio,"stays per 100,000 population",32.5,Unspecified,stays,general acute hospital,S08000020
S12000020,2016/2017,ratio,"stays per 100,000 population",25.5,Unspecified,stays,general acute hospital,S08000020
S12000020,2013/2014,ratio,"stays per 100,000 population",37.9,Unspecified,stays,general acute hospital,S08000020
S12000020,2010/2011,ratio,"stays per 100,000 population",112.1,Acute Intoxication,stays,general acute hospital,S08000020
S12000020,2013/2014,ratio,"stays per 100,000 population",162.9,Acute Intoxication,stays,general acute hospital,S08000020
S12000020,2015/2016,ratio,"stays per 100,000 population",218.1,Acute Intoxication,stays,general acute hospital,S08000020
S12000006,2018/2019,ratio,"stays per 100,000 population",76.2,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000020,2011/2012,ratio,"stays per 100,000 population",45.2,Unspecified,stays,general acute hospital,S08000020
S12000006,2018/2019,ratio,"stays per 100,000 population",24.8,Unspecified,stays,general acute hospital,S08000017
S12000020,2014/2015,ratio,"stays per 100,000 population",23.7,Unspecified,stays,general acute hospital,S08000020
S12000020,2014/2015,ratio,"stays per 100,000 population",200.3,Acute Intoxication,stays,general acute hospital,S08000020
S12000020,2012/2013,ratio,"stays per 100,000 population",184.8,Acute Intoxication,stays,general acute hospital,S08000020
S12000020,2011/2012,ratio,"stays per 100,000 population",183.4,Acute Intoxication,stays,general acute hospital,S08000020
S12000020,2016/2017,ratio,"stays per 100,000 population",216.4,Acute Intoxication,stays,general acute hospital,S08000020
S12000020,2016/2017,ratio,"stays per 100,000 population",51.4,Withdrawal state,stays,general acute hospital,S08000020
S12000006,2011/2012,ratio,"stays per 100,000 population",83.9,Harmful Use,stays,general acute hospital,S08000017
S12000020,2010/2011,ratio,"stays per 100,000 population",39.9,Unspecified,stays,general acute hospital,S08000020
S12000020,2012/2013,ratio,"stays per 100,000 population",32,Unspecified,stays,general acute hospital,S08000020
S12000006,2009/2010,ratio,"stays per 100,000 population",129.7,Harmful Use,stays,general acute hospital,S08000017
S12000020,2016/2017,ratio,"stays per 100,000 population",80.5,Toxic Effects of Alcohol,stays,general acute hospital,S08000020
S12000020,2013/2014,ratio,"stays per 100,000 population",82.2,Toxic Effects of Alcohol,stays,general acute hospital,S08000020
S12000006,2017/2018,ratio,"stays per 100,000 population",82.4,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000020,2015/2016,ratio,"stays per 100,000 population",42.3,Withdrawal state,stays,general acute hospital,S08000020
S12000020,2010/2011,ratio,"stays per 100,000 population",54.5,Toxic Effects of Alcohol,stays,general acute hospital,S08000020
S12000020,2012/2013,ratio,"stays per 100,000 population",32.1,Withdrawal state,stays,general acute hospital,S08000020
S12000020,2014/2015,ratio,"stays per 100,000 population",91.9,Toxic Effects of Alcohol,stays,general acute hospital,S08000020
S12000020,2015/2016,ratio,"stays per 100,000 population",99.5,Toxic Effects of Alcohol,stays,general acute hospital,S08000020
S12000006,2016/2017,ratio,"stays per 100,000 population",31.3,Harmful Use,stays,general acute hospital,S08000017
S12000020,2018/2019,ratio,"stays per 100,000 population",71.2,Toxic Effects of Alcohol,stays,general acute hospital,S08000020
S12000006,2012/2013,ratio,"stays per 100,000 population",79.8,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000020,2010/2011,ratio,"stays per 100,000 population",37.3,Cirrhosis,stays,general acute hospital,S08000020
S12000020,2012/2013,ratio,"stays per 100,000 population",79.5,Toxic Effects of Alcohol,stays,general acute hospital,S08000020
S12000006,2016/2017,ratio,"stays per 100,000 population",91.2,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000006,2015/2016,ratio,"stays per 100,000 population",34,Harmful Use,stays,general acute hospital,S08000017
S12000020,2009/2010,ratio,"stays per 100,000 population",29,Cirrhosis,stays,general acute hospital,S08000020
S12000006,2012/2013,ratio,"stays per 100,000 population",51.8,Harmful Use,stays,general acute hospital,S08000017
S12000006,2013/2014,ratio,"stays per 100,000 population",60.6,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000020,2009/2010,ratio,"stays per 100,000 population",40,Withdrawal state,stays,general acute hospital,S08000020
S12000020,2013/2014,ratio,"stays per 100,000 population",23.6,Cirrhosis,stays,general acute hospital,S08000020
S12000020,2015/2016,ratio,"stays per 100,000 population",17.7,Cirrhosis,stays,general acute hospital,S08000020
S12000020,2018/2019,ratio,"stays per 100,000 population",63.5,Alcohol Dependence syndrome,stays,general acute hospital,S08000020
S12000006,2012/2013,ratio,"stays per 100,000 population",116.4,Acute Intoxication,stays,general acute hospital,S08000017
S12000020,2011/2012,ratio,"stays per 100,000 population",50.3,Cirrhosis,stays,general acute hospital,S08000020
S12000020,2016/2017,ratio,"stays per 100,000 population",36.3,Cirrhosis,stays,general acute hospital,S08000020
S12000020,2013/2014,ratio,"stays per 100,000 population",45.8,Withdrawal state,stays,general acute hospital,S08000020
S12000020,2009/2010,ratio,"stays per 100,000 population",64.2,Toxic Effects of Alcohol,stays,general acute hospital,S08000020
S12000020,2011/2012,ratio,"stays per 100,000 population",65.4,Withdrawal state,stays,general acute hospital,S08000020
S12000020,2012/2013,ratio,"stays per 100,000 population",25,Cirrhosis,stays,general acute hospital,S08000020
S12000020,2017/2018,ratio,"stays per 100,000 population",10.1,Cirrhosis,stays,general acute hospital,S08000020
S12000020,2011/2012,ratio,"stays per 100,000 population",78.8,Toxic Effects of Alcohol,stays,general acute hospital,S08000020
S12000006,2009/2010,ratio,"stays per 100,000 population",75.4,Acute Intoxication,stays,general acute hospital,S08000017
S12000006,2017/2018,ratio,"stays per 100,000 population",39.5,Harmful Use,stays,general acute hospital,S08000017
S12000020,2014/2015,ratio,"stays per 100,000 population",31.2,Cirrhosis,stays,general acute hospital,S08000020
S12000020,2018/2019,ratio,"stays per 100,000 population",14,Cirrhosis,stays,general acute hospital,S08000020
S12000020,2018/2019,ratio,"stays per 100,000 population",152.2,Acute Intoxication,stays,general acute hospital,S08000020
S12000006,2010/2011,ratio,"stays per 100,000 population",34.8,Alcohol Dependence syndrome,stays,general acute hospital,S08000017
S12000027,2017/2018,ratio,"stays per 100,000 population",15.5,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2012/2013,ratio,"stays per 100,000 population",79.5,Harmful Use,stays,general acute hospital,S08000026
S12000027,2018/2019,ratio,"stays per 100,000 population",52.7,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2009/2010,ratio,"stays per 100,000 population",170.8,Harmful Use,stays,general acute hospital,S08000026
S12000027,2009/2010,ratio,"stays per 100,000 population",105.5,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2010/2011,ratio,"stays per 100,000 population",190.8,Harmful Use,stays,general acute hospital,S08000026
S12000027,2009/2010,ratio,"stays per 100,000 population",64.8,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2016/2017,ratio,"stays per 100,000 population",78.3,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2012/2013,ratio,"stays per 100,000 population",330.2,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2009/2010,ratio,"stays per 100,000 population",119.1,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2015/2016,ratio,"stays per 100,000 population",171.2,Harmful Use,stays,general acute hospital,S08000026
S12000027,2014/2015,ratio,"stays per 100,000 population",132.5,Harmful Use,stays,general acute hospital,S08000026
S12000005,2010/2011,ratio,"stays per 100,000 population",27.5,Withdrawal state,stays,general acute hospital,S08000019
S12000027,2015/2016,ratio,"stays per 100,000 population",230,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2013/2014,ratio,"stays per 100,000 population",108.7,Harmful Use,stays,general acute hospital,S08000026
S12000005,2013/2014,ratio,"stays per 100,000 population",30.8,Cirrhosis,stays,general acute hospital,S08000019
S12000027,2017/2018,ratio,"stays per 100,000 population",69.1,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2011/2012,ratio,"stays per 100,000 population",48.3,Cirrhosis,stays,general acute hospital,S08000026
S12000026,2014/2015,ratio,"stays per 100,000 population",106.9,Acute Intoxication,stays,general acute hospital,S08000016
S12000026,2016/2017,ratio,"stays per 100,000 population",112,Acute Intoxication,stays,general acute hospital,S08000016
S12000005,2016/2017,ratio,"stays per 100,000 population",47.8,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000026,2011/2012,ratio,"stays per 100,000 population",39,Withdrawal state,stays,general acute hospital,S08000016
S12000026,2017/2018,ratio,"stays per 100,000 population",113.8,Acute Intoxication,stays,general acute hospital,S08000016
S12000026,2013/2014,ratio,"stays per 100,000 population",35.5,Withdrawal state,stays,general acute hospital,S08000016
S12000026,2017/2018,ratio,"stays per 100,000 population",55.6,Withdrawal state,stays,general acute hospital,S08000016
S12000005,2017/2018,ratio,"stays per 100,000 population",30.3,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000026,2009/2010,ratio,"stays per 100,000 population",42.2,Alcohol Dependence syndrome,stays,general acute hospital,S08000016
S12000005,2012/2013,ratio,"stays per 100,000 population",39.3,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000026,2017/2018,ratio,"stays per 100,000 population",35.2,Toxic Effects of Alcohol,stays,general acute hospital,S08000016
S12000005,2011/2012,ratio,"stays per 100,000 population",53,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000026,2010/2011,ratio,"stays per 100,000 population",44.3,Unspecified,stays,general acute hospital,S08000016
S12000026,2013/2014,ratio,"stays per 100,000 population",39.1,Unspecified,stays,general acute hospital,S08000016
S12000005,2010/2011,ratio,"stays per 100,000 population",53.1,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000005,2009/2010,ratio,"stays per 100,000 population",80.1,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000026,2016/2017,ratio,"stays per 100,000 population",123.8,Harmful Use,stays,general acute hospital,S08000016
S12000026,2018/2019,ratio,"stays per 100,000 population",25.2,Unspecified,stays,general acute hospital,S08000016
S12000005,2010/2011,ratio,"stays per 100,000 population",69.4,Unspecified,stays,general acute hospital,S08000019
S12000005,2009/2010,ratio,"stays per 100,000 population",56.1,Unspecified,stays,general acute hospital,S08000019
S12000005,2012/2013,ratio,"stays per 100,000 population",57,Unspecified,stays,general acute hospital,S08000019
S12000027,2015/2016,ratio,"stays per 100,000 population",82.4,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2010/2011,ratio,"stays per 100,000 population",103.5,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2010/2011,ratio,"stays per 100,000 population",54.6,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2018/2019,ratio,"stays per 100,000 population",0,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000026,2009/2010,ratio,"stays per 100,000 population",54.4,Unspecified,stays,general acute hospital,S08000016
S12000027,2013/2014,ratio,"stays per 100,000 population",40.5,Unspecified,stays,general acute hospital,S08000026
S12000027,2012/2013,ratio,"stays per 100,000 population",109.2,Withdrawal state,stays,general acute hospital,S08000026
S12000005,2010/2011,ratio,"stays per 100,000 population",15.7,Cirrhosis,stays,general acute hospital,S08000019
S12000027,2011/2012,ratio,"stays per 100,000 population",116,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2011/2012,ratio,"stays per 100,000 population",185.2,Harmful Use,stays,general acute hospital,S08000026
S12000027,2014/2015,ratio,"stays per 100,000 population",72.8,Withdrawal state,stays,general acute hospital,S08000026
S12000005,2010/2011,ratio,"stays per 100,000 population",101.3,Acute Intoxication,stays,general acute hospital,S08000019
S12000005,2015/2016,ratio,"stays per 100,000 population",44,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000005,2014/2015,ratio,"stays per 100,000 population",38.6,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000005,2013/2014,ratio,"stays per 100,000 population",58.7,Toxic Effects of Alcohol,stays,general acute hospital,S08000019
S12000026,2016/2017,ratio,"stays per 100,000 population",62.3,Toxic Effects of Alcohol,stays,general acute hospital,S08000016
S12000026,2014/2015,ratio,"stays per 100,000 population",50,Unspecified,stays,general acute hospital,S08000016
S12000005,2017/2018,ratio,"stays per 100,000 population",43.5,Unspecified,stays,general acute hospital,S08000019
S12000027,2010/2011,ratio,"stays per 100,000 population",145.4,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2013/2014,ratio,"stays per 100,000 population",119.9,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2017/2018,ratio,"stays per 100,000 population",121,Harmful Use,stays,general acute hospital,S08000026
S12000027,2014/2015,ratio,"stays per 100,000 population",66.9,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2009/2010,ratio,"stays per 100,000 population",25.1,Unspecified,stays,general acute hospital,S08000026
S12000027,2013/2014,ratio,"stays per 100,000 population",274.9,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2017/2018,ratio,"stays per 100,000 population",136.5,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2012/2013,ratio,"stays per 100,000 population",110.4,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2018/2019,ratio,"stays per 100,000 population",108.6,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2016/2017,ratio,"stays per 100,000 population",19.2,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2014/2015,ratio,"stays per 100,000 population",24.5,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2009/2010,ratio,"stays per 100,000 population",167.1,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2013/2014,ratio,"stays per 100,000 population",38.1,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2018/2019,ratio,"stays per 100,000 population",182,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2018/2019,ratio,"stays per 100,000 population",143.1,Harmful Use,stays,general acute hospital,S08000026
S12000027,2011/2012,ratio,"stays per 100,000 population",73.4,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2016/2017,ratio,"stays per 100,000 population",81.1,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000028,2009/2010,ratio,"stays per 100,000 population",127.4,Withdrawal state,stays,general acute hospital,S08000015
S12000028,2014/2015,ratio,"stays per 100,000 population",64.4,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2017/2018,ratio,"stays per 100,000 population",42.1,Unspecified,stays,general acute hospital,S08000015
S12000028,2011/2012,ratio,"stays per 100,000 population",43.7,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2018/2019,ratio,"stays per 100,000 population",177.9,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2012/2013,ratio,"stays per 100,000 population",63.4,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2016/2017,ratio,"stays per 100,000 population",66.9,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2010/2011,ratio,"stays per 100,000 population",40,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2015/2016,ratio,"stays per 100,000 population",71.9,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2009/2010,ratio,"stays per 100,000 population",72.8,Unspecified,stays,general acute hospital,S08000015
S12000028,2014/2015,ratio,"stays per 100,000 population",82.1,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000028,2015/2016,ratio,"stays per 100,000 population",101.1,Withdrawal state,stays,general acute hospital,S08000015
S12000028,2017/2018,ratio,"stays per 100,000 population",77.5,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000028,2012/2013,ratio,"stays per 100,000 population",87.2,Unspecified,stays,general acute hospital,S08000015
S12000028,2012/2013,ratio,"stays per 100,000 population",92,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000028,2010/2011,ratio,"stays per 100,000 population",138.6,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000028,2017/2018,ratio,"stays per 100,000 population",127.8,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000028,2018/2019,ratio,"stays per 100,000 population",199.9,Harmful Use,stays,general acute hospital,S08000015
S12000028,2016/2017,ratio,"stays per 100,000 population",68.2,Toxic Effects of Alcohol,stays,general acute hospital,S08000015
S12000028,2013/2014,ratio,"stays per 100,000 population",67.5,Alcohol Dependence syndrome,stays,general acute hospital,S08000015
S12000027,2015/2016,ratio,"stays per 100,000 population",44.7,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2009/2010,ratio,"stays per 100,000 population",68.3,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2014/2015,ratio,"stays per 100,000 population",230.8,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2016/2017,ratio,"stays per 100,000 population",320.2,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2012/2013,ratio,"stays per 100,000 population",0,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2011/2012,ratio,"stays per 100,000 population",373.7,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2010/2011,ratio,"stays per 100,000 population",25.3,Unspecified,stays,general acute hospital,S08000026
S12000027,2018/2019,ratio,"stays per 100,000 population",43.4,Unspecified,stays,general acute hospital,S08000026
S12000005,2009/2010,ratio,"stays per 100,000 population",49.1,Withdrawal state,stays,general acute hospital,S08000019
S12000027,2014/2015,ratio,"stays per 100,000 population",22.6,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2013/2014,ratio,"stays per 100,000 population",42.5,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2016/2017,ratio,"stays per 100,000 population",83.7,Harmful Use,stays,general acute hospital,S08000026
S12000027,2017/2018,ratio,"stays per 100,000 population",221.7,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2018/2019,ratio,"stays per 100,000 population",66,Withdrawal state,stays,general acute hospital,S08000026
S12000027,2015/2016,ratio,"stays per 100,000 population",56.6,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2011/2012,ratio,"stays per 100,000 population",46.4,Unspecified,stays,general acute hospital,S08000026
S12000005,2015/2016,ratio,"stays per 100,000 population",62.8,Withdrawal state,stays,general acute hospital,S08000019
S12000005,2009/2010,ratio,"stays per 100,000 population",66.1,Alcohol Dependence syndrome,stays,general acute hospital,S08000019
S12000027,2013/2014,ratio,"stays per 100,000 population",27.7,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2017/2018,ratio,"stays per 100,000 population",40.8,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2016/2017,ratio,"stays per 100,000 population",17.2,Toxic Effects of Alcohol,stays,general acute hospital,S08000026
S12000027,2015/2016,ratio,"stays per 100,000 population",13.2,Unspecified,stays,general acute hospital,S08000026
S12000027,2015/2016,ratio,"stays per 100,000 population",40.1,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2011/2012,ratio,"stays per 100,000 population",174.9,Alcohol Dependence syndrome,stays,general acute hospital,S08000026
S12000027,2012/2013,ratio,"stays per 100,000 population",25,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2014/2015,ratio,"stays per 100,000 population",11.6,Unspecified,stays,general acute hospital,S08000026
S12000027,2016/2017,ratio,"stays per 100,000 population",0,Unspecified,stays,general acute hospital,S08000026
S12000027,2010/2011,ratio,"stays per 100,000 population",228.4,Acute Intoxication,stays,general acute hospital,S08000026
S12000027,2012/2013,ratio,"stays per 100,000 population",35,Unspecified,stays,general acute hospital,S08000026
S12000005,2014/2015,ratio,"stays per 100,000 population",23.9,Unspecified,stays,general acute hospital,S08000019
S12000027,2010/2011,ratio,"stays per 100,000 population",30.7,Cirrhosis,stays,general acute hospital,S08000026
S12000027,2017/2018,ratio,"stays per 100,000 population",23.3,Unspecified,stays,general acute hospital,S08000026
S12000023,2015/2016,ratio,"stays per 100,000 population",56.3,Unspecified,stays,general acute hospital,S08000025
S12000023,2012/2013,ratio,"stays per 100,000 population",28.4,Withdrawal state,stays,general acute hospital,S08000025
S12000005,2011/2012,ratio,"stays per 100,000 population",67.2,Unspecified,stays,general acute hospital,S08000019
S12000023,2018/2019,ratio,"stays per 100,000 population",43.4,Unspecified,stays,general acute hospital,S08000025
S12000005,2012/2013,ratio,"stays per 100,000 population",146,Acute Intoxication,stays,general acute hospital,S08000019
S12000023,2017/2018,ratio,"stays per 100,000 population",36.4,Unspecified,stays,general acute hospital,S08000025
S12000005,2011/2012,ratio,"stays per 100,000 population",14.3,Cirrhosis,stays,general acute hospital,S08000019
S12000023,2014/2015,ratio,"stays per 100,000 population",30.5,Unspecified,stays,general acute hospital,S08000025
S12000023,2013/2014,ratio,"stays per 100,000 population",80.4,Withdrawal state,stays,general acute hospital,S08000025
S12000023,2018/2019,ratio,"stays per 100,000 population",177.3,Acute Intoxication,stays,general acute hospital,S08000025
S12000005,2009/2010,ratio,"stays per 100,000 population",10.1,Cirrhosis,stays,general acute hospital,S08000019
S12000005,2017/2018,ratio,"stays per 100,000 population",121.8,Harmful Use,stays,general acute hospital,S08000019
S12000005,2016/2017,ratio,"stays per 100,000 population",56.5,Unspecified,stays,general acute hospital,S08000019
S12000005,2013/2014,ratio,"stays per 100,000 population",58.2,Unspecified,stays,general acute hospital,S08000019
S12000023,2009/2010,ratio,"stays per 100,000 population",75.9,Unspecified,stays,general acute hospital,S08000025
